T,Sa
0,0.551
0.01,0.630895
0.02,0.71079
0.03,0.790685
0.04,0.87058
0.05,0.950475
0.06,1.03037
0.07,1.110265
0.08,1.19016
0.09,1.270055
0.1,1.34995
0.11,1.34995
0.12,1.34995
0.13,1.34995
0.14,1.34995
0.15,1.34995
0.16,1.34995
0.17,1.34995
0.18,1.34995
0.19,1.34995
0.2,1.34995
0.21,1.34995
0.22,1.34995
0.23,1.34995
0.24,1.34995
0.25,1.34995
0.26,1.34995
0.27,1.34995
0.28,1.34995
0.29,1.34995
0.3,1.304951667
0.31,1.262856452
0.32,1.223392188
0.33,1.186319697
0.34,1.151427941
0.35,1.11853
0.36,1.087459722
0.37,1.058068919
0.38,1.030225
0.39,1.003808974
0.4,0.97871375
0.41,0.954842683
0.42,0.932108333
0.43,0.910431395
0.44,0.889739773
0.45,0.869967778
0.46,0.851055435
0.47,0.832947872
0.48,0.815594792
0.49,0.79895
0.5,0.782971
0.51,0.767618627
0.52,0.752856731
0.53,0.738651887
0.54,0.724973148
0.55,0.711791818
0.56,0.69908125
0.57,0.686816667
0.58,0.674975
0.59,0.663534746
0.6,0.652475833
0.61,0.641779508
0.62,0.631428226
0.63,0.621405556
0.64,0.611696094
0.65,0.602285385
0.66,0.593159848
0.67,0.584306716
0.68,0.575713971
0.69,0.56737029
0.7,0.559265
0.71,0.551388028
0.72,0.543729861
0.73,0.536281507
0.74,0.529034459
0.75,0.521980667
0.76,0.5151125
0.77,0.508422727
0.78,0.501904487
0.79,0.495551266
0.8,0.489356875
0.81,0.483315432
0.82,0.477421341
0.83,0.471669277
0.84,0.466054167
0.85,0.460571176
0.86,0.455215698
0.87,0.449983333
0.88,0.444869886
0.89,0.439871348
0.9,0.434983889
0.91,0.430203846
0.92,0.425527717
0.93,0.420952151
0.94,0.416473936
0.95,0.41209
0.96,0.407797396
0.97,0.403593299
0.98,0.399475
0.99,0.395439899
1,0.3914855
1.01,0.387609406
1.02,0.383809314
1.03,0.38008301
1.04,0.376428365
1.05,0.372843333
1.06,0.369325943
1.07,0.365874299
1.08,0.362486574
1.09,0.359161009
1.1,0.355895909
1.11,0.35268964
1.12,0.349540625
1.13,0.346447345
1.14,0.343408333
1.15,0.340422174
1.16,0.3374875
1.17,0.334602991
1.18,0.331767373
1.19,0.328979412
1.2,0.326237917
1.21,0.323541736
1.22,0.320889754
1.23,0.318280894
1.24,0.315714113
1.25,0.3131884
1.26,0.310702778
1.27,0.308256299
1.28,0.305848047
1.29,0.303477132
1.3,0.301142692
1.31,0.298843893
1.32,0.296579924
1.33,0.29435
1.34,0.292153358
1.35,0.289989259
1.36,0.287856985
1.37,0.285755839
1.38,0.283685145
1.39,0.281644245
1.4,0.2796325
1.41,0.277649291
1.42,0.275694014
1.43,0.273766084
1.44,0.271864931
1.45,0.26999
1.46,0.268140753
1.47,0.266316667
1.48,0.26451723
1.49,0.262741946
1.5,0.260990333
1.51,0.259261921
1.52,0.25755625
1.53,0.255872876
1.54,0.254211364
1.55,0.25257129
1.56,0.250952244
1.57,0.249353822
1.58,0.247775633
1.59,0.246217296
1.6,0.244678438
1.61,0.243158696
1.62,0.241657716
1.63,0.240175153
1.64,0.238710671
1.65,0.237263939
1.66,0.235834639
1.67,0.234422455
1.68,0.233027083
1.69,0.231648225
1.7,0.230285588
1.71,0.228938889
1.72,0.227607849
1.73,0.226292197
1.74,0.224991667
1.75,0.223706
1.76,0.222434943
1.77,0.221178249
1.78,0.219935674
1.79,0.218706983
1.8,0.217491944
1.81,0.216290331
1.82,0.215101923
1.83,0.213926503
1.84,0.212763859
1.85,0.211613784
1.86,0.210476075
1.87,0.209350535
1.88,0.208236968
1.89,0.207135185
1.9,0.206045
1.91,0.20496623
1.92,0.203898698
1.93,0.202842228
1.94,0.201796649
1.95,0.200761795
1.96,0.1997375
1.97,0.198723604
1.98,0.197719949
1.99,0.196726382
2,0.19574275
2.01,0.194768905
2.02,0.193804703
2.03,0.19285
2.04,0.191904657
2.05,0.190968537
2.06,0.190041505
2.07,0.18912343
2.08,0.188214183
2.09,0.187313636
2.1,0.186421667
2.11,0.185538152
2.12,0.184662972
2.13,0.183796009
2.14,0.18293715
2.15,0.182086279
2.16,0.181243287
2.17,0.180408065
2.18,0.179580505
2.19,0.178760502
2.2,0.177947955
2.21,0.17714276
2.22,0.17634482
2.23,0.175554036
2.24,0.174770313
2.25,0.173993556
2.26,0.173223673
2.27,0.172460573
2.28,0.171704167
2.29,0.170954367
2.3,0.170211087
2.31,0.169474242
2.32,0.16874375
2.33,0.168019528
2.34,0.167301496
2.35,0.166589574
2.36,0.165883686
2.37,0.165183755
2.38,0.164489706
2.39,0.163801464
2.4,0.163118958
2.41,0.162442116
2.42,0.161770868
2.43,0.161105144
2.44,0.160444877
2.45,0.15979
2.46,0.159140447
2.47,0.158496154
2.48,0.157857056
2.49,0.157223092
2.5,0.1565942
2.51,0.155970319
2.52,0.155351389
2.53,0.154737352
2.54,0.15412815
2.55,0.153523725
2.56,0.152924023
2.57,0.152328988
2.58,0.151738566
2.59,0.151152703
2.6,0.150571346
2.61,0.149994444
2.62,0.149421947
2.63,0.148853802
2.64,0.148289962
2.65,0.147730377
2.66,0.147175
2.67,0.146623783
2.68,0.146076679
2.69,0.145533643
2.7,0.14499463
2.71,0.144459594
2.72,0.143928493
2.73,0.143401282
2.74,0.14287792
2.75,0.142358364
2.76,0.141842572
2.77,0.141330505
2.78,0.140822122
2.79,0.140317384
2.8,0.13981625
2.81,0.139318683
2.82,0.138824645
2.83,0.138334099
2.84,0.137847007
2.85,0.137363333
2.86,0.136883042
2.87,0.136406098
2.88,0.135932465
2.89,0.135462111
2.9,0.134995
2.91,0.1345311
2.92,0.134070377
2.93,0.133612799
2.94,0.133158333
2.95,0.132706949
2.96,0.132258615
2.97,0.1318133
2.98,0.131370973
2.99,0.130931605
3,0.130495167
3.01,0.130061628
3.02,0.12963096
3.03,0.129203135
3.04,0.128778125
3.05,0.128355902
3.06,0.127936438
3.07,0.127519707
3.08,0.127105682
3.09,0.126694337
3.1,0.126285645
3.11,0.125879582
3.12,0.125476122
3.13,0.12507524
3.14,0.124676911
3.15,0.124281111
3.16,0.123887816
3.17,0.123497003
3.18,0.123108648
3.19,0.122722727
3.2,0.122339219
3.21,0.1219581
3.22,0.121579348
3.23,0.121202941
3.24,0.120828858
3.25,0.120457077
3.26,0.120087577
3.27,0.119720336
3.28,0.119355335
3.29,0.118992553
3.3,0.11863197
3.31,0.118273565
3.32,0.117917319
3.33,0.117563213
3.34,0.117211228
3.35,0.116861343
3.36,0.116513542
3.37,0.116167804
3.38,0.115824112
3.39,0.115482448
3.4,0.115142794
3.41,0.114805132
3.42,0.114469444
3.43,0.114135714
3.44,0.113803924
3.45,0.113474058
3.46,0.113146098
3.47,0.112820029
3.48,0.112495833
3.49,0.112173496
3.5,0.111853
3.51,0.11153433
3.52,0.111217472
3.53,0.110902408
3.54,0.110589124
3.55,0.110277606
3.56,0.109967837
3.57,0.109659804
3.58,0.109353492
3.59,0.109048886
3.6,0.108745972
3.61,0.108444737
3.62,0.108145166
3.63,0.107847245
3.64,0.107550962
3.65,0.107256301
3.66,0.106963251
3.67,0.106671798
3.68,0.106381929
3.69,0.106093631
3.7,0.105806892
3.71,0.105521698
3.72,0.105238038
3.73,0.104955898
3.74,0.104675267
3.75,0.104396133
3.76,0.104118484
3.77,0.103842308
3.78,0.103567593
3.79,0.103294327
3.8,0.1030225
3.81,0.102590285
3.82,0.102053867
3.83,0.101521644
3.84,0.100993574
3.85,0.100469613
3.86,0.09994972
3.87,0.099433851
3.88,0.098921966
3.89,0.098414023
3.9,0.097909983
3.91,0.097409805
3.92,0.09691345
3.93,0.09642088
3.94,0.095932055
3.95,0.095446937
3.96,0.094965491
3.97,0.094487678
3.98,0.094013462
3.99,0.093542807
4,0.093075678
